>>> Test float to string <<<
  0.000000 in (b, -1): 0p-1074
  0.000000 in (b,  0): 0p-1074
  0.000000 in (b,  1): 0p-1074
  0.000000 in (b,  3): 0p-1074
  0.000000 in (b,  6): 0p-1074
  0.000000 in (b, 10): 0p-1074
  0.000000 in (b,100): 0p-1074
  0.000000 in (e, -1): 0e+00
  0.000000 in (e,  0): 0e+00
  0.000000 in (e,  1): 0.0e+00
  0.000000 in (e,  3): 0.000e+00
  0.000000 in (e,  6): 0.000000e+00
  0.000000 in (e, 10): 0.0000000000e+00
  0.000000 in (e,100): 0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e+00
  0.000000 in (E, -1): 0E+00
  0.000000 in (E,  0): 0E+00
  0.000000 in (E,  1): 0.0E+00
  0.000000 in (E,  3): 0.000E+00
  0.000000 in (E,  6): 0.000000E+00
  0.000000 in (E, 10): 0.0000000000E+00
  0.000000 in (E,100): 0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000E+00
  0.000000 in (f, -1): 0
  0.000000 in (f,  0): 0
  0.000000 in (f,  1): 0.0
  0.000000 in (f,  3): 0.000
  0.000000 in (f,  6): 0.000000
  0.000000 in (f, 10): 0.0000000000
  0.000000 in (f,100): 0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
  0.000000 in (g, -1): 0
  0.000000 in (g,  0): 0
  0.000000 in (g,  1): 0
  0.000000 in (g,  3): 0
  0.000000 in (g,  6): 0
  0.000000 in (g, 10): 0
  0.000000 in (g,100): 0
  0.000000 in (G, -1): 0
  0.000000 in (G,  0): 0
  0.000000 in (G,  1): 0
  0.000000 in (G,  3): 0
  0.000000 in (G,  6): 0
  0.000000 in (G, 10): 0
  0.000000 in (G,100): 0
  0.000000 in (x, -1): 0x0p+00
  0.000000 in (x,  0): 0x0p+00
  0.000000 in (x,  1): 0x0.0p+00
  0.000000 in (x,  3): 0x0.000p+00
  0.000000 in (x,  6): 0x0.000000p+00
  0.000000 in (x, 10): 0x0.0000000000p+00
  0.000000 in (x,100): 0x0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p+00
  0.000000 in (X, -1): 0X0P+00
  0.000000 in (X,  0): 0X0P+00
  0.000000 in (X,  1): 0X0.0P+00
  0.000000 in (X,  3): 0X0.000P+00
  0.000000 in (X,  6): 0X0.000000P+00
  0.000000 in (X, 10): 0X0.0000000000P+00
  0.000000 in (X,100): 0X0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000P+00
  0.000000 in (b, -1): 0p-1074
  0.000000 in (b,  0): 0p-1074
  0.000000 in (b,  1): 0p-1074
  0.000000 in (b,  3): 0p-1074
  0.000000 in (b,  6): 0p-1074
  0.000000 in (b, 10): 0p-1074
  0.000000 in (b,100): 0p-1074
  0.000000 in (e, -1): 0e+00
  0.000000 in (e,  0): 0e+00
  0.000000 in (e,  1): 0.0e+00
  0.000000 in (e,  3): 0.000e+00
  0.000000 in (e,  6): 0.000000e+00
  0.000000 in (e, 10): 0.0000000000e+00
  0.000000 in (e,100): 0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e+00
  0.000000 in (E, -1): 0E+00
  0.000000 in (E,  0): 0E+00
  0.000000 in (E,  1): 0.0E+00
  0.000000 in (E,  3): 0.000E+00
  0.000000 in (E,  6): 0.000000E+00
  0.000000 in (E, 10): 0.0000000000E+00
  0.000000 in (E,100): 0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000E+00
  0.000000 in (f, -1): 0
  0.000000 in (f,  0): 0
  0.000000 in (f,  1): 0.0
  0.000000 in (f,  3): 0.000
  0.000000 in (f,  6): 0.000000
  0.000000 in (f, 10): 0.0000000000
  0.000000 in (f,100): 0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
  0.000000 in (g, -1): 0
  0.000000 in (g,  0): 0
  0.000000 in (g,  1): 0
  0.000000 in (g,  3): 0
  0.000000 in (g,  6): 0
  0.000000 in (g, 10): 0
  0.000000 in (g,100): 0
  0.000000 in (G, -1): 0
  0.000000 in (G,  0): 0
  0.000000 in (G,  1): 0
  0.000000 in (G,  3): 0
  0.000000 in (G,  6): 0
  0.000000 in (G, 10): 0
  0.000000 in (G,100): 0
  0.000000 in (x, -1): 0x0p+00
  0.000000 in (x,  0): 0x0p+00
  0.000000 in (x,  1): 0x0.0p+00
  0.000000 in (x,  3): 0x0.000p+00
  0.000000 in (x,  6): 0x0.000000p+00
  0.000000 in (x, 10): 0x0.0000000000p+00
  0.000000 in (x,100): 0x0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p+00
  0.000000 in (X, -1): 0X0P+00
  0.000000 in (X,  0): 0X0P+00
  0.000000 in (X,  1): 0X0.0P+00
  0.000000 in (X,  3): 0X0.000P+00
  0.000000 in (X,  6): 0X0.000000P+00
  0.000000 in (X, 10): 0X0.0000000000P+00
  0.000000 in (X,100): 0X0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000P+00
  1.000000 in (b, -1): 4503599627370496p-52
  1.000000 in (b,  0): 4503599627370496p-52
  1.000000 in (b,  1): 4503599627370496p-52
  1.000000 in (b,  3): 4503599627370496p-52
  1.000000 in (b,  6): 4503599627370496p-52
  1.000000 in (b, 10): 4503599627370496p-52
  1.000000 in (b,100): 4503599627370496p-52
  1.000000 in (e, -1): 1e+00
  1.000000 in (e,  0): 1e+00
  1.000000 in (e,  1): 1.0e+00
  1.000000 in (e,  3): 1.000e+00
  1.000000 in (e,  6): 1.000000e+00
  1.000000 in (e, 10): 1.0000000000e+00
  1.000000 in (e,100): 1.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e+00
  1.000000 in (E, -1): 1E+00
  1.000000 in (E,  0): 1E+00
  1.000000 in (E,  1): 1.0E+00
  1.000000 in (E,  3): 1.000E+00
  1.000000 in (E,  6): 1.000000E+00
  1.000000 in (E, 10): 1.0000000000E+00
  1.000000 in (E,100): 1.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000E+00
  1.000000 in (f, -1): 1
  1.000000 in (f,  0): 1
  1.000000 in (f,  1): 1.0
  1.000000 in (f,  3): 1.000
  1.000000 in (f,  6): 1.000000
  1.000000 in (f, 10): 1.0000000000
  1.000000 in (f,100): 1.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
  1.000000 in (g, -1): 1
  1.000000 in (g,  0): 1
  1.000000 in (g,  1): 1
  1.000000 in (g,  3): 1
  1.000000 in (g,  6): 1
  1.000000 in (g, 10): 1
  1.000000 in (g,100): 1
  1.000000 in (G, -1): 1
  1.000000 in (G,  0): 1
  1.000000 in (G,  1): 1
  1.000000 in (G,  3): 1
  1.000000 in (G,  6): 1
  1.000000 in (G, 10): 1
  1.000000 in (G,100): 1
  1.000000 in (x, -1): 0x1p+00
  1.000000 in (x,  0): 0x1p+00
  1.000000 in (x,  1): 0x1.0p+00
  1.000000 in (x,  3): 0x1.000p+00
  1.000000 in (x,  6): 0x1.000000p+00
  1.000000 in (x, 10): 0x1.0000000000p+00
  1.000000 in (x,100): 0x1.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p+00
  1.000000 in (X, -1): 0X1P+00
  1.000000 in (X,  0): 0X1P+00
  1.000000 in (X,  1): 0X1.0P+00
  1.000000 in (X,  3): 0X1.000P+00
  1.000000 in (X,  6): 0X1.000000P+00
  1.000000 in (X, 10): 0X1.0000000000P+00
  1.000000 in (X,100): 0X1.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000P+00
  1.200000 in (b, -1): 5404319552844595p-52
  1.200000 in (b,  0): 5404319552844595p-52
  1.200000 in (b,  1): 5404319552844595p-52
  1.200000 in (b,  3): 5404319552844595p-52
  1.200000 in (b,  6): 5404319552844595p-52
  1.200000 in (b, 10): 5404319552844595p-52
  1.200000 in (b,100): 5404319552844595p-52
  1.200000 in (e, -1): 1.2e+00
